oil,gas,water
13863.08612372547,12823.146274637442,1889.3633198708226
5067.641474319517,17405.484967474105,12001.131542720206
12877.187999746615,89485.04486898618,19959.340414967035
25157.839108338903,71285.27675886493,2739.9487641871033
36772.07497081636,3429.352514535278,3240.788160822479
32881.98412288436,21274.725016113516,5569.5195765612525
694.4083139752366,50181.96295627867,1736.9443473727863
8561.574972237346,94128.59023955029,9327.307857629432
14978.103593553365,88642.66096329431,18720.420455106447
35681.718752627836,89438.62300902259,18209.98120937121
7083.922244104546,61118.66275017503,17776.517928954458
29233.20401636908,37998.0388653567,406.4304821167863
36015.59102995414,75784.38937777025,19421.107403291007
11928.728001556294,93660.13199951623,14843.606501450475
46517.53732988699,69157.40341508,7917.514147965768
45672.33622100152,9546.745720972183,2981.489881121182
22552.676428546612,52845.05811130688,11571.787783978361
28769.174054246,76558.93051648862,1365.8839178942462
35607.38804811324,34669.27711512642,12053.070560575376
5413.646370622904,44297.08630562368,17241.418010684763
9210.911385111769,25691.39382985026,14233.436564755471
25822.377093126903,96317.06073720164,18809.73228393795
2968.0300194868446,61304.172691504835,7094.204096464483
11495.674382138388,49509.43586039176,301.67814063824846
43686.57874995518,94923.6157792993,18293.1461500512
32360.716749484745,51550.69754028916,9842.085827564206
41085.135459011515,35836.326034869206,18285.982131847355
36875.32505097261,55621.36911299382,17202.538251052516
2781.736907334287,83423.99984806414,5238.660738717629
2850.0707273433845,28051.39371030204,10949.859931348217
28203.426084751205,30714.483312480344,17326.96024790589
22720.596586570075,71335.31280294537,8702.398783930053
46297.981960072146,24417.81345780887,4272.248455247667
23781.853233891325,45477.656977512335,13242.399882030333
9522.434930251111,47840.051374816336,710.254428930135
10580.503599093789,6612.6209163224985,14695.334503995246
21724.141918861627,97212.38013788241,17035.21473211945
29638.368778192602,68145.45260949852,5045.063814077941
18799.853959208063,35018.67658634504,14508.280296494582
34714.35442250265,32709.003110881342,15313.978558388008
32818.2779751042,24556.26322020815,5038.182966352551
24154.644225163513,41217.91498733551,19566.327517946662
48020.96952013864,14945.181968971332,15433.003118498324
37447.65294567318,59938.32282285298,18037.815691643307
2554.7833509732163,49129.041339122305,5702.9723064646
11006.335223154745,33721.05988844947,4479.867044221905
43398.36672529816,92016.90611370698,5768.449803253783
10338.455117766533,94466.91221726795,11076.580221654862
49026.816828391966,95636.2480973927,17961.769745043264
24898.128736107883,5922.771464613053,4870.731000718265
504.1311917168334,78855.76293418331,6726.011678075989
22946.88431745798,91553.04490142115,2914.654381958106
143.75946083309276,49197.894447695464,7847.4445648459005
42067.04040028123,47499.44682899597,11207.590553986674
43126.829701193456,23783.40388692549,3293.350915976041
14113.03800207797,90403.14320602844,6563.021836757743
22222.00654536824,12901.647944855844,8970.220715075213
37682.533487750516,67652.94831512452,14955.935285471794
5615.081760067719,53707.63713322192,17910.609361997133
24041.847524863657,47057.22781130237,11095.264369519702
49546.983749186176,48666.03932814888,11629.351491034591
31852.35224928635,51942.47740007829,3290.099288231505
23121.077216874248,20955.18685979796,8233.67093093284
37449.527833760396,18545.854513617487,14994.192304725533
44594.1367674005,44435.49315296645,5736.84307978243
12946.684132385766,36345.0005954069,5571.658312387104
37359.95788780941,42033.71365473223,19767.55730279597
39706.440255642614,28920.541304095015,16624.618604173073
20098.640965047005,7288.178213491748,7521.429802069058
5170.024215168068,98627.52137608193,19969.53786953181
41338.10522312019,82411.77877107348,2907.342059140183
27206.825374923195,71392.03626522858,19589.788044797668
18652.244837364346,57355.499886688944,14327.931457673601
27630.62730173351,11185.344224947858,16193.963001576023
37477.02298094251,78406.59138695948,14931.43243044594
23992.064905415755,90047.50164461957,14624.37344523436
29835.587279859672,62922.25526288138,10012.275354048492
7555.524624950971,30753.44145809783,18455.826199579544
8222.445705701326,82018.19292223467,8241.242972431204
49113.30850316657,58363.54743562306,4676.436210902686
26794.057463813504,46903.01446272908,14997.727822044533
38738.537113688144,54059.5844421231,2487.8434226384848
43652.176590199895,43857.46002694768,6952.855990470692
17013.62875113022,51879.341257880296,9679.85038743139
18272.12530656394,2239.5307238746054,2316.239663396571
17870.49916756928,61642.93918998736,298.4350699806781
48400.72716523491,99633.66977059895,18644.823658095174
5272.241735813854,32295.7878276775,15369.950897839517
36000.86564938724,80213.9705832939,4555.269361526888
4838.328600290914,81533.65454356953,1064.7059548407744
48986.192949520984,671.2160107304466,2294.464130318661
29282.97649813075,37857.4940322925,4949.162026731399
12148.665651081108,80823.8650123285,17983.372690405005
25471.71511849221,65428.642600382445,12780.28266627077
36406.13436656563,25615.87661023126,16106.269167819415
14084.705562291632,36640.28317966381,19321.787643074676
40717.97645296128,64563.80043099181,4934.603082347746
2163.3562030947573,75562.5079336615,1526.3977788555883
9098.851537052455,63422.35230521245,4958.757772895797
15843.747060223972,63498.80991051313,19823.94461168365
